AREA_NAME,AREA_SHORT_CODE,Average Total Income,Median Age,Average Household Size,Total private dwellings,Average Commute Time,"Car, truck, van - as a driver %","Car, truck, van - as a passenger %",Public transit %,Walked %,Bicycle %,Single-detached house %,Apartment in a building w/ >= 5 stories %,Semi-detached house %,Row house %,Apartment or flat in a duplex %,Apartment in a building w/ < 5 stories %,"No certificate, diploma or degree",Secondary (high) school diploma or equivalent,"Postsecondary certificate, diploma or degree"
Etobicoke West Mall,13,38255.0,41.263312986739635,2.5,4727,36.041404140414045,0.5738738738738739,0.05675675675675676,0.3153153153153153,0.036036036036036036,0.011711711711711712,0.21046892039258452,0.6892039258451472,0.020719738276990186,0.05016357688113413,0.013086150490730643,0.011995637949836423,0.11782477341389729,0.229607250755287,0.6518126888217523
Flemingdon Park,44,28654.0,41.263312986739635,2.8,7964,39.249254621347646,0.44212410501193317,0.031026252983293555,0.4606205250596659,0.04832935560859188,0.0059665871121718375,0.0,0.8205619412515964,0.022988505747126436,0.07215836526181353,0.0006385696040868455,0.08237547892720307,0.14818024263431542,0.24350086655112652,0.6074523396880416
Forest Hill North,102,85099.0,41.263312986739635,2.33,5784,34.40699523052464,0.4626391096979332,0.029411764705882353,0.43243243243243246,0.04451510333863275,0.015103338632750398,0.26972477064220185,0.6293577981651376,0.0027522935779816515,0.005504587155963303,0.02018348623853211,0.07064220183486239,0.03518648838845883,0.1569317382125264,0.8078817733990148
Forest Hill South,101,204521.0,41.263312986739635,2.14,5353,30.591050988553594,0.49011446409989595,0.02081165452653486,0.3808532778355879,0.05931321540062435,0.031217481789802288,0.34040404040404043,0.4090909090909091,0.013131313131313131,0.00808080808080808,0.014141414141414142,0.21212121212121213,0.0189328743545611,0.12994836488812392,0.8493975903614458
Glenfield-Jane Heights,25,27984.0,41.263312986739635,3.04,10423,37.86975335352661,0.5369969710082215,0.08437905668541756,0.34314149718736475,0.024231934227607096,0.004759844223279966,0.04187689202825429,0.34359233097880926,0.33148335015136227,0.136226034308779,0.033299697275479316,0.11604439959636731,0.3087893864013267,0.2975124378109453,0.39502487562189054
Greenwood-Coxwell,65,46206.0,41.22690058479533,2.37,6443,36.30567685589519,0.3483636363636364,0.04,0.44363636363636366,0.07054545454545455,0.08436363636363636,0.15950413223140497,0.08512396694214876,0.24462809917355371,0.05537190082644628,0.05950413223140496,0.39008264462809916,0.10549694614103276,0.18933925596890616,0.7057190449750139
Guildwood,140,53203.0,41.22690058479533,2.42,4044,41.357743097238895,0.5978391356542617,0.04201680672268908,0.3169267707082833,0.031212484993997598,0.0024009603841536613,0.5451127819548872,0.2731829573934837,0.03508771929824561,0.07518796992481203,0.045112781954887216,0.023809523809523808,0.06237218813905931,0.2229038854805726,0.7177914110429447
Henry Farm,53,36359.0,41.95635910224439,2.47,6646,39.36570247933884,0.42768595041322316,0.044765840220385676,0.47176308539944906,0.046831955922865015,0.0027548209366391185,0.07776904948939513,0.8373919874312648,0.0,0.06834249803613511,0.002356637863315004,0.012568735271013355,0.04880636604774536,0.14748010610079576,0.8037135278514589
High Park North,88,57465.0,41.263312986739635,1.98,11541,37.78996036988111,0.3229074889867841,0.020704845814977973,0.5515418502202644,0.04581497797356828,0.04977973568281938,0.1242067089755213,0.5906618313689936,0.05439709882139619,0.011786038077969175,0.0371713508612874,0.1799637352674524,0.0356638418079096,0.1292372881355932,0.83545197740113
High Park-Swansea,87,71204.0,41.263312986739635,2.15,11526,36.30527638190955,0.4449099287808965,0.028906577293674067,0.39589442815249265,0.05194805194805195,0.06786761625471303,0.24413793103448275,0.3296551724137931,0.04735632183908046,0.02666666666666667,0.051954022988505745,0.2979310344827586,0.0305661688086141,0.12955887460923932,0.8398749565821466
Highland Creek,134,40972.0,41.263312986739635,3.37,3907,39.58304195804196,0.6646288209606986,0.056768558951965066,0.25851528384279476,0.013100436681222707,0.004366812227074236,0.8389715832205683,0.0,0.0013531799729364006,0.0040595399188092015,0.14749661705006767,0.008119079837618403,0.09682299546142209,0.2428139183055976,0.6603630862329803
Hillcrest Village,48,40442.0,41.263312986739635,2.64,6642,39.69440124416796,0.5746500777604977,0.049766718506998445,0.33748055987558323,0.027993779160186624,0.0015552099533437014,0.2578125,0.303125,0.12890625,0.1671875,0.02421875,0.11796875,0.04619076184763048,0.15176964607078583,0.8014397120575885
Humber Heights-Westmount,8,45615.0,41.22690058479533,2.45,4261,36.912643678160926,0.6444188722669736,0.047180667433831994,0.2761795166858458,0.014959723820483314,0.0023014959723820483,0.4062877871825877,0.47762998790810157,0.014510278113663845,0.015719467956469165,0.04353083434099154,0.045949214026602174,0.08428030303030302,0.24242424242424243,0.6714015151515151
Humber Summit,21,30731.0,41.263312986739635,3.18,4288,36.31714568880079,0.6386138613861386,0.07227722772277227,0.2584158415841584,0.01881188118811881,0.0019801980198019802,0.1346153846153846,0.18205128205128204,0.45897435897435895,0.021794871794871794,0.02435897435897436,0.17564102564102563,0.225,0.3016129032258065,0.47338709677419355
Humbermede,22,29528.0,41.263312986739635,3.07,5390,37.28560775540642,0.5853840417598807,0.07531692766592095,0.3087248322147651,0.01715137956748695,0.002982848620432513,0.11374876360039565,0.3135509396636993,0.22453016815034618,0.09000989119683482,0.01582591493570722,0.23936696340257171,0.20884520884520885,0.2936117936117936,0.49815724815724816
Humewood-Cedarvale,106,65274.0,41.263312986739635,2.17,6865,35.6051040967092,0.34697986577181206,0.03691275167785235,0.5,0.06040268456375839,0.03758389261744966,0.2820121951219512,0.25990853658536583,0.040396341463414635,0.0,0.023628048780487805,0.3955792682926829,0.04569115095430885,0.14285714285714285,0.8126084441873915
Ionview,125,31383.0,41.263312986739635,2.63,5312,39.58963815789474,0.4009860312243221,0.0419063270336894,0.4971240755957272,0.038619556285949055,0.0049301561216105174,0.19729206963249515,0.5570599613152805,0.0725338491295938,0.02804642166344294,0.0735009671179884,0.05222437137330754,0.13642297650130547,0.26370757180156656,0.5998694516971279
Islington-City Centre West,14,52787.0,41.263312986739635,2.24,19911,36.752039891205804,0.5338925413738381,0.044207662661528,0.37202448424393564,0.03604624801632283,0.004080707322602585,0.2677878395860285,0.6388098318240621,0.00646830530401035,0.03363518758085381,0.0129366106080207,0.03880983182406209,0.060065246593744,0.18556898867779698,0.7541738629821532
Junction Area,90,49709.0,41.263312986739635,2.33,6431,38.37005277044855,0.37730870712401055,0.037598944591029027,0.4399736147757256,0.07058047493403694,0.06926121372031663,0.12271973466003316,0.11940298507462686,0.1625207296849088,0.09369817578772803,0.0845771144278607,0.41625207296849087,0.07552370452039692,0.1819184123484013,0.743109151047409
Keelesdale-Eglinton West,110,33316.0,41.263312986739635,2.64,4575,40.38615847542628,0.4839357429718876,0.09337349397590361,0.3684738955823293,0.03714859437751004,0.010040160642570281,0.39904420549581837,0.15890083632019117,0.1015531660692951,0.0023894862604540022,0.09438470728793309,0.24014336917562723,0.33440256615878106,0.2702485966319166,0.3953488372093023
Kennedy Park,124,30974.0,41.263312986739635,2.6,6885,41.053162853297444,0.4485541358439812,0.04371217215870881,0.4714189643577673,0.016812373907195696,0.00605245460659045,0.2743161094224924,0.4308510638297872,0.05319148936170213,0.018996960486322188,0.1033434650455927,0.10562310030395136,0.14315569487983282,0.2800417972831766,0.5757575757575758
Kensington-Chinatown,78,37422.0,42.026898734177216,2.0,9745,27.653182629387267,0.13087447947650208,0.019631171921475312,0.26710291493158833,0.45687091017251635,0.11183819155264724,0.008004574042309892,0.5294453973699257,0.024585477415666093,0.0686106346483705,0.02801600914808462,0.3350485991995426,0.12868892114175132,0.19641993226898888,0.6739235607160136
Kingsview Village-The Westway,6,36674.0,41.263312986739635,2.82,8159,35.456657223796036,0.6038483305036786,0.050933786078098474,0.30164119977362763,0.030560271646859084,0.0050933786078098476,0.279383429672447,0.6114322414900449,0.016698779704560053,0.04046242774566474,0.021836865767501604,0.028259473346178548,0.15467625899280577,0.28552158273381295,0.560251798561151
Kingsway South,15,144642.0,41.22690058479533,2.56,3710,35.56434316353888,0.5917001338688086,0.0321285140562249,0.3172690763052209,0.030789825970548863,0.008032128514056224,0.6443514644351465,0.2203626220362622,0.019525801952580194,0.01394700139470014,0.008368200836820083,0.09344490934449093,0.010834236186348862,0.09859154929577464,0.8884073672806068
Lambton Baby Point,114,76629.0,41.263312986739635,2.56,3217,38.41702741702742,0.46464646464646464,0.03896103896103896,0.40404040404040403,0.04040404040404041,0.03607503607503607,0.40705128205128205,0.22435897435897437,0.17467948717948717,0.05929487179487179,0.030448717948717948,0.10737179487179487,0.05970149253731343,0.14695752009184845,0.7933409873708381
L'Amoreaux,117,31826.0,41.263312986739635,2.89,15486,38.59396162528217,0.5647756138865369,0.06886819079875811,0.3327688399661304,0.02088625458650861,0.004798193621224951,0.24493187105350614,0.4493187105350615,0.06148222000664673,0.16051844466600199,0.027916251246261216,0.055167829843801926,0.16213885295385944,0.24385510996119017,0.5946528676153514
Lansing-Westgate,38,72371.0,41.263312986739635,2.44,6943,35.906332453825854,0.4884640738299275,0.025708635464733027,0.3974950560316414,0.06987475280158208,0.003955174686882004,0.3573596358118361,0.5060698027314112,0.004552352048558422,0.0,0.028072837632776935,0.09939301972685888,0.02691292875989446,0.1324538258575198,0.8401055408970977
Lawrence Park North,105,111730.0,41.263312986739635,2.69,5622,32.820710973724886,0.47409126063418405,0.030162412993039442,0.4168600154679041,0.05259087393658159,0.013147718484145398,0.5732718894009217,0.03778801843317972,0.1631336405529954,0.005529953917050691,0.034101382488479264,0.18525345622119815,0.015625,0.08658854166666667,0.8977864583333334
Lawrence Park South,103,169203.0,41.263312986739635,2.63,6017,33.2464096749811,0.5260770975056689,0.04610733182161754,0.32653061224489793,0.06349206349206349,0.02040816326530612,0.5953002610966057,0.16100957354221063,0.019147084421235857,0.006092254134029591,0.04003481288076589,0.17667536988685814,0.016149068322981366,0.08509316770186336,0.9006211180124224
Leaside-Bennington,56,125564.0,41.263312986739635,2.59,6712,30.90620782726046,0.6039136302294197,0.04723346828609987,0.24224021592442646,0.06815114709851552,0.03171390013495277,0.5535714285714286,0.08152173913043478,0.1234472049689441,0.011645962732919254,0.006987577639751553,0.2204968944099379,0.023361823361823363,0.11282051282051282,0.8632478632478633
Little Portugal,84,45737.0,42.026898734177216,2.03,8095,33.66778149386845,0.2849972113775795,0.03067484662576687,0.384829894032348,0.14891243725599554,0.14054656999442275,0.03633916554508748,0.3977119784656797,0.06191117092866756,0.08142664872139974,0.03230148048452221,0.3815612382234186,0.10806984426616328,0.18404907975460122,0.7083529966965549
Long Branch,19,47384.0,41.22690058479533,2.09,5145,35.90368271954674,0.5945179584120983,0.043478260869565216,0.2996219281663516,0.0330812854442344,0.020793950850661626,0.3073727933541018,0.23572170301142265,0.016614745586708203,0.018691588785046728,0.04776739356178609,0.37279335410176534,0.0999194198227236,0.2328767123287671,0.6688154713940371
Malvern,132,29573.0,41.263312986739635,3.26,13936,39.6704811443433,0.5609882964889467,0.07282184655396619,0.3342002600780234,0.022106631989596878,0.0031209362808842654,0.25903838986209465,0.23667536339918002,0.09504286246738726,0.2638837122623928,0.09094297428251957,0.048825941110696984,0.14885903177649817,0.291106845809341,0.5593943271486458
Maple Leaf,29,37108.0,41.22690058479533,2.77,3696,36.74591057797165,0.5447598253275109,0.04912663755458515,0.3537117903930131,0.039301310043668124,0.002183406113537118,0.459915611814346,0.2250351617440225,0.04922644163150492,0.026722925457102673,0.057665260196905765,0.17862165963431786,0.16356877323420074,0.2815985130111524,0.5539033457249071
Markland Wood,12,62378.0,41.22690058479533,2.43,4348,34.42658092175777,0.6484458735262594,0.05894962486602358,0.23258306538049303,0.03858520900321544,0.00857449088960343,0.41299303944315546,0.46983758700696054,0.001160092807424594,0.06612529002320186,0.009280742459396751,0.03944315545243619,0.044048734770384255,0.18837863167760074,0.7656982193064668
Milliken,130,28085.0,41.263312986739635,3.39,7825,37.384026781444284,0.6240458015267175,0.10925572519083969,0.23950381679389313,0.01717557251908397,0.003816793893129771,0.5074821080026025,0.25634352635003255,0.07156798959011061,0.07937540663630449,0.06766428106701367,0.01236174365647365,0.2527510316368638,0.30777166437414033,0.4391334250343879
Mimico (includes Humber Bay Shores),17,54438.0,41.22690058479533,1.87,20486,38.111728738187885,0.6172461752433936,0.04228094575799722,0.2803894297635605,0.028094575799721837,0.017246175243393603,0.1268992684299381,0.6083286437816545,0.016038266741699492,0.05149127743387732,0.019977490151941474,0.17698368036015757,0.07315957933241884,0.1858710562414266,0.7405121170553269
Morningside,135,32291.0,41.263312986739635,2.92,6044,40.77919463087248,0.5691275167785235,0.06778523489932886,0.33355704697986577,0.0174496644295302,0.0013422818791946308,0.3880851063829787,0.3625531914893617,0.00425531914893617,0.15659574468085105,0.05276595744680851,0.03489361702127659,0.12691466083150985,0.2603938730853392,0.612691466083151
Moss Park,73,58915.0,41.95635910224439,1.6,12513,28.560460652591168,0.21065259117082533,0.01583493282149712,0.31621880998080615,0.3757197696737044,0.06621880998080615,0.005627705627705628,0.7134199134199134,0.011688311688311689,0.05454545454545454,0.009523809523809525,0.20346320346320346,0.07635009310986965,0.16573556797020483,0.7582867783985102
Mount Dennis,115,30827.0,41.263312986739635,2.56,5386,42.989856297548606,0.459915611814346,0.05569620253164557,0.44978902953586497,0.02109704641350211,0.004219409282700422,0.18471953578336556,0.4825918762088975,0.029013539651837523,0.06479690522243714,0.04061895551257253,0.20019342359767892,0.2119815668202765,0.2843976300197498,0.5029624753127058
Mount Olive-Silverstone-Jamestown,2,26548.0,41.263312986739635,3.32,10220,37.14013497419611,0.5527777777777778,0.07380952380952381,0.3261904761904762,0.030555555555555555,0.002777777777777778,0.16767983789260385,0.6246200607902735,0.016210739614994935,0.10536980749746708,0.07649442755825735,0.00911854103343465,0.24698972099853156,0.28634361233480177,0.4666666666666667
Mount Pleasant East,99,85340.0,41.22690058479533,2.25,7715,33.56664520283323,0.4623309723116549,0.03992273019961365,0.37218287186091437,0.08692852543464263,0.027688345138441726,0.2903225806451613,0.3057795698924731,0.21774193548387097,0.01881720430107527,0.024193548387096774,0.14180107526881722,0.01762571280456195,0.11404872991187144,0.8683255572835666
Mount Pleasant West,104,57039.0,41.95635910224439,1.65,18495,34.804003585300265,0.28336816960286654,0.022096148103911615,0.5634517766497462,0.10988354732756046,0.014929829799940281,0.02715837621497999,0.8453401943967982,0.010577472841623786,0.011435105774728416,0.005717552887364208,0.10034305317324185,0.028805562453439286,0.12639682145517755,0.8450459399056369
New Toronto,18,44101.0,41.22690058479533,2.1,5657,39.07699275362319,0.542572463768116,0.043478260869565216,0.328804347826087,0.04800724637681159,0.028079710144927536,0.28930232558139535,0.21953488372093025,0.04,0.04837209302325581,0.037209302325581395,0.3655813953488372,0.10502958579881656,0.21819526627218935,0.6775147928994083
Newtonbrook East,50,45212.0,41.263312986739635,2.54,6470,38.86081694402421,0.49166666666666664,0.0446969696969697,0.40984848484848485,0.04090909090909091,0.005303030303030303,0.45098039215686275,0.42320261437908496,0.0016339869281045752,0.004901960784313725,0.06209150326797386,0.05392156862745098,0.042505592841163314,0.14205816554809844,0.8159955257270693
Newtonbrook West,36,34904.0,41.263312986739635,2.64,9416,39.00946521533365,0.4505442498816848,0.059157595835305256,0.42924751538097494,0.04448651206814955,0.005205868433506862,0.28236607142857145,0.49107142857142855,0.06752232142857142,0.06138392857142857,0.04185267857142857,0.05524553571428571,0.05194805194805195,0.21669758812615955,0.7332096474953618
Niagara,82,70623.0,42.026898734177216,1.62,19660,32.45157470992186,0.32284023668639056,0.03029585798816568,0.32970414201183434,0.24,0.0629585798816568,0.0018646776771443793,0.8335109216835376,0.005860415556739478,0.04581779435269046,0.016782099094299414,0.09429941395844432,0.026999593991067803,0.10759236703207471,0.865002030044661
North Riverdale,68,73253.0,41.22690058479533,2.33,5306,31.502978723404254,0.3302127659574468,0.029787234042553193,0.3974468085106383,0.11829787234042553,0.1046808510638298,0.16283716283716285,0.13986013986013987,0.26073926073926074,0.07192807192807193,0.06293706293706294,0.2917082917082917,0.04509663564781675,0.1467430207587688,0.8081603435934145
North St. James Town,74,32648.0,41.95635910224439,1.92,10109,34.949566160520604,0.1399132321041215,0.015184381778741865,0.5672451193058569,0.21095444685466377,0.05151843817787419,0.0005232862375719519,0.9256933542647828,0.0,0.010465724751439037,0.0020931449502878076,0.06017791732077447,0.0866721177432543,0.19501226492232215,0.7187244480784954
Oakridge,121,26793.0,41.263312986739635,2.57,5586,39.95180722891566,0.3604417670682731,0.02610441767068273,0.5471887550200804,0.04919678714859438,0.007028112449799197,0.19886363636363635,0.6013257575757576,0.026515151515151516,0.03787878787878788,0.08333333333333333,0.04734848484848485,0.14501312335958005,0.25984251968503935,0.5958005249343832
Oakwood Village,107,39803.0,41.22690058479533,2.42,9235,38.404150197628454,0.37833827893175076,0.040553907022749754,0.4876360039564787,0.03857566765578635,0.04253214638971316,0.32144910868315124,0.17538815411155836,0.14491086831512365,0.0023001725129384704,0.07878090856814261,0.2748706152961472,0.14398340248962654,0.21867219917012448,0.6373443983402489
O'Connor-Parkview,54,43907.0,41.263312986739635,2.48,7713,38.73622291021672,0.5003095975232198,0.04643962848297214,0.40123839009287926,0.030340557275541795,0.011764705882352941,0.40562248995983935,0.32061579651941097,0.01740294511378849,0.019410977242302542,0.03815261044176707,0.19879518072289157,0.11516314779270634,0.2423224568138196,0.6420345489443378
Old East York,58,53315.0,41.22690058479533,2.43,3960,34.61436464088398,0.523756906077348,0.051933701657458566,0.3447513812154696,0.03756906077348066,0.032044198895027624,0.5857519788918206,0.13720316622691292,0.044854881266490766,0.0,0.11213720316622691,0.12005277044854881,0.09776536312849161,0.20577281191806332,0.6964618249534451
Palmerston-Little Italy,80,58071.0,42.026898734177216,2.17,6862,31.87272727272727,0.22762645914396887,0.022697795071335927,0.35992217898832685,0.18028534370946822,0.19066147859922178,0.05608214849921011,0.04897314375987362,0.15165876777251186,0.04660347551342812,0.06477093206951026,0.6145339652448657,0.05237045203969129,0.17144432194046305,0.7739801543550165
Parkwoods-Donalda,45,42516.0,41.263312986739635,2.61,13921,37.71250818598559,0.5618860510805501,0.053700065487884745,0.34544859201047806,0.0275049115913556,0.0029469548133595285,0.19188884716485166,0.503942921517086,0.10176492677431469,0.1028914757791964,0.00938790837401427,0.08899737138565528,0.07469752761704367,0.22093634928984746,0.7043661230931089
Pelmo Park-Humberlea,23,39003.0,41.263312986739635,2.89,3860,36.10188679245283,0.6528301886792452,0.062264150943396226,0.25943396226415094,0.016037735849056604,0.0018867924528301887,0.4838274932614555,0.14420485175202155,0.13746630727762804,0.07008086253369272,0.09433962264150944,0.0646900269541779,0.16708229426433915,0.26766417290108063,0.5652535328345802
Playter Estates-Danforth,67,70831.0,41.263312986739635,2.14,3767,32.92477302204929,0.28756476683937826,0.027202072538860103,0.5129533678756477,0.09196891191709844,0.06606217616580311,0.17622377622377622,0.25874125874125875,0.16223776223776223,0.016783216783216783,0.055944055944055944,0.32727272727272727,0.03229278794402583,0.14101184068891282,0.8277717976318623
Pleasant View,46,36346.0,41.263312986739635,2.86,5703,38.00441501103753,0.5861561119293078,0.061855670103092786,0.3173784977908689,0.019882179675994108,0.005154639175257732,0.18297101449275363,0.26721014492753625,0.3269927536231884,0.04891304347826087,0.019927536231884056,0.14945652173913043,0.07446808510638298,0.19739952718676124,0.7269503546099291
Princess-Rosethorn,10,99055.0,41.22690058479533,2.86,3958,34.698231009365244,0.7322916666666667,0.04791666666666667,0.19791666666666666,0.015625,0.0,0.8536269430051814,0.11398963730569948,0.0012953367875647669,0.010362694300518135,0.014248704663212436,0.0038860103626943004,0.042515500442869794,0.15146147032772364,0.8051372896368467
Regent Park,72,34597.0,41.95635910224439,2.15,5183,33.71729957805907,0.23890063424947147,0.024312896405919663,0.47463002114164904,0.18604651162790697,0.06342494714587738,0.0010080645161290322,0.7318548387096774,0.010080645161290322,0.10181451612903226,0.0020161290322580645,0.14818548387096775,0.16475972540045766,0.2143401983218917,0.6209000762776506
Rexdale-Kipling,4,34418.0,41.263312986739635,2.69,3989,35.21858500527983,0.6194503171247357,0.049682875264270614,0.2843551797040169,0.03171247357293869,0.005285412262156448,0.461038961038961,0.11948051948051948,0.007792207792207792,0.11168831168831168,0.12467532467532468,0.17402597402597403,0.1476976542137272,0.29192006950477845,0.5621198957428323
Rockcliffe-Smythe,111,34059.0,41.263312986739635,2.45,9487,39.510813594232744,0.500772797527048,0.07109737248840804,0.3740340030911901,0.03709428129829984,0.008758371973209686,0.305019305019305,0.35962493105350246,0.11638168781025923,0.026475455046883617,0.05129619415333701,0.14065085493656923,0.23703403565640194,0.27633711507293357,0.4878444084278768
Roncesvalles,86,50580.0,41.263312986739635,2.16,7305,34.90716723549488,0.320109439124487,0.02667578659370725,0.38919288645690836,0.09781121751025992,0.14705882352941177,0.09796806966618288,0.24963715529753266,0.1444121915820029,0.04644412191582003,0.062409288824383166,0.3940493468795356,0.0893970893970894,0.18347193347193347,0.7276507276507277
Rosedale-Moore Park,98,207903.0,41.22690058479533,2.05,10702,28.419855795895728,0.3806881243063263,0.033296337402885685,0.39178690344062156,0.13318534961154274,0.03607103218645949,0.24390243902439024,0.4967645594823295,0.04828272772523644,0.025883524141363863,0.03434544549527128,0.14982578397212543,0.018357044515832952,0.10647085819183112,0.8747131711794401
Rouge,131,39556.0,41.263312986739635,3.44,13730,40.15906976744186,0.6355813953488372,0.07023255813953488,0.276046511627907,0.010232558139534883,0.0009302325581395349,0.5696675382891296,0.07583115427717595,0.08554351886440045,0.1385879716100112,0.08741128128502054,0.042958535674262235,0.11989643497311292,0.2696673969328819,0.6106353316072496
Runnymede-Bloor West Village,89,71888.0,41.22690058479533,2.64,3987,38.29362591431557,0.4582463465553236,0.019832985386221295,0.4091858037578288,0.05323590814196242,0.055323590814196244,0.5301047120418848,0.0,0.19895287958115182,0.013089005235602094,0.06282722513089005,0.19240837696335078,0.02663230240549828,0.13659793814432988,0.8359106529209622
Rustic,28,31800.0,41.263312986739635,2.67,3726,37.59527121001391,0.5306406685236769,0.055710306406685235,0.3816155988857939,0.025069637883008356,0.0,0.3150684931506849,0.5383561643835616,0.057534246575342465,0.0013698630136986301,0.023287671232876714,0.06575342465753424,0.20254506892895016,0.32237539766702017,0.47720042417815484
Scarborough Village,139,32913.0,41.263312986739635,2.77,6133,41.71897518014411,0.4904,0.056,0.4112,0.0336,0.0,0.1866554054054054,0.6722972972972973,0.005067567567567568,0.04560810810810811,0.028716216216216218,0.059966216216216214,0.15935334872979215,0.2690531177829099,0.5715935334872979
South Parkdale,85,35207.0,41.95635910224439,1.81,12085,36.47987477638641,0.2334525939177102,0.020125223613595707,0.5174418604651163,0.1167262969588551,0.10241502683363149,0.01755926251097454,0.6294995610184372,0.013169446883230905,0.031167690956979806,0.018437225636523266,0.28797190517998245,0.1328892005610098,0.2131837307152875,0.6542776998597476
