AREA_NAME,AREA_SHORT_CODE,Average Total Income,Median Age,Average Household Size,Total private dwellings,Average Commute Time,"Car, truck, van - as a driver %","Car, truck, van - as a passenger %",Public transit %,Walked %,Bicycle %,Single-detached house %,Apartment in a building w/ >= 5 stories %,Semi-detached house %,Row house %,Apartment or flat in a duplex %,Apartment in a building w/ < 5 stories %,"No certificate, diploma or degree",Secondary (high) school diploma or equivalent,"Postsecondary certificate, diploma or degree"
Wexford/Maryvale,119,35047.0,41.263312986739635,2.73,10462,37.21278317152104,0.5683656957928802,0.04813915857605178,0.33737864077669905,0.030744336569579287,0.006472491909385114,0.5235032162295893,0.18456209797130133,0.0014844136566056407,0.035625927758535375,0.1454725383473528,0.10935180603661554,0.11818181818181818,0.2727272727272727,0.6094155844155844
Willowdale East,51,45326.0,41.95635910224439,2.25,23901,37.1759577884836,0.4539820977736975,0.03190268533394538,0.43103052559100297,0.071149873766353,0.0022951572182694515,0.1517256835499776,0.7216494845360825,0.00291349170775437,0.037875392200806816,0.011205737337516808,0.07395786642761093,0.023824752158618484,0.12088263511352734,0.854812919731372
Willowdale West,37,44576.0,41.60669274228595,2.22,8054,37.81567489114659,0.47246376811594204,0.03985507246376811,0.41231884057971013,0.058695652173913045,0.007971014492753623,0.26887417218543047,0.6132450331125828,0.018543046357615896,0.033112582781456956,0.039735099337748346,0.025827814569536423,0.030526315789473683,0.14684210526315788,0.8231578947368421
Willowridge-Martingrove-Richview,7,44177.0,41.263312986739635,2.6,8721,35.014415376401494,0.6645299145299145,0.05502136752136752,0.25427350427350426,0.014957264957264958,0.002136752136752137,0.42328042328042326,0.43974132863021753,0.06231628453850676,0.04056437389770723,0.029982363315696647,0.00411522633744856,0.09725348941918055,0.2543899144529491,0.6488068437640703
Woburn,137,30878.0,41.263312986739635,2.87,19098,38.871961102106965,0.5327622134753415,0.06506135679555453,0.35355406344061124,0.036119472100023156,0.002083815698078259,0.3422836994846759,0.5061025223759154,0.015459723352318959,0.013018714401952807,0.09492812584757256,0.026579875237320316,0.14461264470169188,0.2666073018699911,0.5886019590382903
Woodbine Corridor,64,55199.0,41.22690058479533,2.28,5620,37.076278290025144,0.4157585917854149,0.027661357921207042,0.4258172673931266,0.05699916177703269,0.06370494551550712,0.1622364802933089,0.12648945921173235,0.2850595783684693,0.054995417048579284,0.034830430797433545,0.3318056828597617,0.08111615833874107,0.1628812459441921,0.755353666450357
Woodbine-Lumsden,60,47710.0,41.22690058479533,2.27,3604,38.01587301587301,0.41097560975609754,0.02926829268292683,0.47317073170731705,0.03536585365853658,0.042682926829268296,0.5471698113207547,0.17706821480406387,0.09433962264150944,0.005805515239477504,0.08272859216255443,0.09288824383164006,0.08611955420466058,0.22796352583586627,0.6869300911854104
Wychwood,94,54460.0,41.263312986739635,2.24,6185,35.12746585735964,0.33206974981046244,0.029567854435178165,0.45564821834723274,0.07960576194086429,0.09249431387414708,0.15632965165675447,0.22005097706032287,0.14953271028037382,0.04927782497875956,0.06711979609175871,0.35344095157179267,0.08149084017687934,0.17308907138344914,0.7454200884396716
Yonge-Eglinton,100,89330.0,41.263312986739635,2.08,6103,33.442291491154165,0.33192923336141533,0.02611625947767481,0.4945240101095198,0.10699241786015164,0.02443133951137321,0.24669603524229075,0.3515418502202643,0.08193832599118943,0.010572687224669603,0.05462555066079295,0.25462555066079295,0.018802228412256268,0.0947075208913649,0.8857938718662952
Yonge-St.Clair,97,114174.0,41.263312986739635,1.76,7475,31.509448818897635,0.32308904649330183,0.02442868400315209,0.4996059889676911,0.11268715524034673,0.02442868400315209,0.07412687099073414,0.6151104775481112,0.06414825374198146,0.03136136849607983,0.018531717747683536,0.19529579472558803,0.01891891891891892,0.12162162162162163,0.8594594594594595
York University Heights,27,29958.0,41.95635910224439,2.71,11051,39.05003909304144,0.46481626270523846,0.05199374511336982,0.42259577795152464,0.045738858483189995,0.008991399530883503,0.12137592137592138,0.5410319410319411,0.13366093366093365,0.07616707616707617,0.027518427518427518,0.0977886977886978,0.14944042132982224,0.25510204081632654,0.5957867017774852
Yorkdale-Glen Park,31,38527.0,41.263312986739635,2.62,5847,34.743769470404985,0.4992211838006231,0.05529595015576324,0.37383177570093457,0.056074766355140186,0.004672897196261682,0.40505144995322734,0.22170252572497662,0.014967259120673527,0.11225444340505145,0.08699719363891488,0.15528531337698784,0.1654533421575116,0.2799470549305096,0.5539377895433488
